Data supplied by UK-AIR on 11/3/2026
All Data GMT hour ending  
Rows begining ## are Provisional
Immingham Woodlands Avenue Nitrogen dioxide ug/m-3
   Date   , 01:00, 02:00, 03:00, 04:00, 05:00, 06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00, 24:00
01-01-2025,1.43264,1.43302,1.22774,0.92179,0.61443,0.36042,2.76113,2.04735,2.91552,3.37585,3.27396,2.66037,3.27537,3.63353,4.55419,3.63155,6.44405,3.73485,7.41438,5.37211,5.67608,11.39901,20.80035,12.31657
02-01-2025,9.26972,9.26935,7.82263,4.34578,6.03142,12.47246,14.62333,12.88236,18.15663,15.91005,7.52338,13.82410,7.52648,6.30213,9.36541,7.62163,25.89031,13.14461,11.35340,9.40861,18.07417,7.51605,5.77762,4.80566
03-01-2025,8.72523,13.42913,12.93255,8.84439,8.48691,9.96823,12.01906,14.62646,12.73346,10.38666,13.92725,12.13534,11.62425,9.67564,12.74218,12.88735,23.74018,35.22095,43.65422,39.46806,41.33218,21.93814,30.12993,23.32399
04-01-2025,16.70589,14.59327,13.65801,12.93923,11.71064,12.73559,13.96642,17.44883,17.39462,16.22642,17.35698,18.02408,15.04980,14.58830,16.58399,20.92534,25.57960,22.46037,19.03808,22.71177,23.62492,19.17796,17.33592,14.47230
05-01-2025,8.59371,3.88723,6.13876,3.58099,3.73327,5.42206,7.62078,10.12798,9.41296,7.31650,12.94786,15.35980,13.00264,10.23613,12.18003,39.90134,16.42266,19.44540,16.37882,14.02418,13.97108,16.42519,19.13159,25.60294
06-01-2025,25.32547,7.30154,7.11307,7.57506,10.59345,10.28686,13.46093,9.56803,8.95625,25.55773,14.64734,6.70643,4.60865,3.02259,4.14862,8.39310,9.77457,10.90060,14.84352,13.86617,11.81953,10.33521,8.33999,7.00966
07-01-2025,3.75375,8.05056,6.49973,5.78493,4.55605,7.98301,12.18486,12.64444,14.95460,11.93383,12.35230,14.19367,13.11519,12.85521,15.41697,21.76267,20.06891,17.96756,18.22167,20.00881,20.57210,18.77853,18.06122,13.96838
08-01-2025,10.98688,10.91903,10.90346,10.54277,10.49327,13.41186,12.13653,16.89330,25.50307,24.58454,20.90957,19.58391,21.78669,24.34319,33.83092,45.57873,50.42346,52.01131,50.56755,49.48089,47.52814,39.41026,38.05187,33.12558
09-01-2025,26.14831,28.94138,32.91690,40.03663,26.41552,18.48553,15.10730,17.05802,26.84834,22.44900,17.53841,14.46282,11.48681,9.56974,7.38082,8.09940,10.19977,9.83928,9.37976,9.48017,9.94052,8.19981,10.30046,10.96387
10-01-2025,13.77429,19.46112,20.50453,17.88923,14.85061,18.50320,22.35692,21.02431,22.37852,23.71539,19.66677,18.84171,15.75174,20.74347,22.83473,28.42877,41.80720,38.13274,39.62623,32.77309,33.82195,23.63421,30.31462,22.87159
11-01-2025,19.79548,19.11042,16.34633,21.39805,15.77289,21.39660,27.22526,28.72962,35.67567,26.19138,21.45055,22.28799,23.15665,24.60079,24.57208,33.75795,43.42900,48.52954,47.16545,44.94148,42.08878,35.33056,36.88722,30.53443
12-01-2025,33.72217,27.17791,27.88768,26.49721,20.48683,22.81967,28.43631,26.41749,21.47054,22.29945,28.68236,14.38666,15.37126,15.21647,19.92349,25.29873,30.94368,33.22246,33.37519,24.92975,25.08661,21.04898,15.25455,10.54960
13-01-2025,10.65145,9.26830,7.52298,5.91568,6.32972,6.27845,7.16232,8.71867,9.86580,10.74695,11.84071,13.18867,12.82318,13.39313,13.70343,15.21304,15.25615,14.73808,14.42627,13.69891,14.06078,13.48872,13.02251,12.34732
