Data supplied by UK-AIR on 11/3/2026
All Data GMT hour ending  
Rows begining ## are Provisional
Immingham Woodlands Avenue PM<sub>10</sub> particulate matter (Hourly measured)  ug/m-3 (Grav Equiv)
   Date   , 01:00, 02:00, 03:00, 04:00, 05:00, 06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00, 24:00
01-01-2025, 4.700, 3.525, 2.975, 2.125, 3.250, 3.175, 1.900, 1.125, 0.875, 2.000, 2.675, 3.675, 4.000, 3.900, 3.550, 2.350, 2.550, 5.175, 6.475, 6.175, 5.425, 8.050,10.725, 7.550
02-01-2025, 7.150, 7.100, 8.350, 4.850, 3.925, 9.300, 8.250, 7.350, 8.900, 8.400, 5.200, 7.050, 6.075, 5.400, 5.650, 5.500, 8.325, 6.200, 5.750, 5.400, 6.150, 6.250, 4.550, 3.525
03-01-2025, 4.300, 5.025, 4.625, 4.325, 5.800, 6.350, 5.000, 7.175, 4.375, 3.950, 5.700, 5.000, 5.200, 6.450, 5.900, 6.450,11.200,12.600,12.375,16.475,26.125,17.050,20.175,17.300
04-01-2025,19.675,18.950,17.900,16.450,15.075,13.675,13.525,15.075,14.800,14.575,14.325,10.875, 9.450, 7.425, 9.425, 8.775, 9.550,10.625,11.700,15.825,17.325,16.900,16.300,15.050
05-01-2025, 9.975, 4.925, 4.225, 3.150, 2.800, 3.575, 3.850, 3.125, 3.525, 2.825, 3.650, 3.725, 3.225, 3.850, 7.150, 4.175, 4.350, 5.725, 6.075, 4.250, 5.550, 5.025, 2.875, 4.225
06-01-2025, 5.450, 5.775, 1.700, 1.800, 2.850, 2.125, 1.725, 1.550, 1.375, 3.900, 3.975, 2.600, 1.900, 1.450, 1.475, 1.775, 2.025, 2.650, 5.075, 5.925, 5.975, 6.425, 6.500, 6.175
07-01-2025, 4.850,12.375,10.750, 5.275, 2.975, 7.500, 6.625, 5.000, 4.800, 4.350, 7.075, 8.000, 7.250, 6.500, 5.950, 6.875, 5.875, 8.200, 8.350, 9.800,12.325,11.675,12.125,10.300
08-01-2025, 7.950, 8.575, 9.925,11.175, 9.250,10.550, 5.400, 5.025, 7.375,10.000,14.550, 9.975,12.450,13.025,15.850,13.375,15.150,19.500,26.750,21.075,22.425,21.275,18.175,20.075
09-01-2025,28.100,20.375,18.750,18.175,16.600,11.850,10.675, 7.950, 9.150, 8.375, 6.500, 6.550, 5.775, 6.600, 5.350, 4.350, 4.925, 5.750, 5.525, 8.000, 8.900, 8.475, 8.200, 8.175
10-01-2025, 8.375,12.275,12.125, 8.225, 8.875,14.725,12.700, 6.775, 7.300, 9.775,10.950,13.750,11.275,12.675,12.425,13.450,16.900,15.525,16.525,17.050,16.375,15.025,19.150,23.850
11-01-2025,18.575,14.650,15.125,13.875,16.725,18.850,19.250,17.650,21.700,21.025,20.925,20.500,21.300,19.375,16.950,24.450,22.775,26.100,40.050,28.550,25.225,25.825,24.375,22.275
12-01-2025,30.375,27.150,26.675,24.525,16.200,13.350,10.625, 8.525, 9.050,14.125,19.125,13.675,18.050,19.375,24.900,26.700,25.600,29.350,23.025,20.625,23.525,18.450,13.125,10.525
13-01-2025,11.175,11.400, 9.425, 8.250, 8.900, 8.475, 8.700,10.150,10.650, 9.700, 9.150,10.200, 8.550, 8.050, 7.625, 8.075, 8.175, 8.525, 9.700,10.325,10.250, 9.900,10.550,11.075
14-01-2025,11.625,12.425,12.725,12.900,12.650,11.250,10.775,11.175,10.750,10.000, 9.075, 7.725, 8.475,11.700,11.000,11.350,10.850,14.400,14.400,12.475,12.700,13.825,10.625,10.500
15-01-2025,10.525, 9.050, 4.850, 3.350, 2.625, 7.675, 8.300, 9.625, 9.325,13.050,11.900,      ,15.550,12.475,10.825,10.375,11.725,13.050,16.200,18.775,17.525,16.600,17.700,16.825
16-01-2025,17.750,16.100,15.475,15.850,16.275,15.975,19.550,19.525,18.200,18.300,10.350,11.150,10.600, 9.425, 8.175,11.050,11.800,12.025,12.450,15.975,20.025,24.425,23.975,24.050
17-01-2025,24.275,21.725,19.125,17.050,16.450,17.050,16.875,15.075,13.650,14.250,15.425,16.025,17.325,18.400,18.275,17.350,19.075,20.875,22.050,22.600,23.625,22.700,22.225,27.225
18-01-2025,27.175,26.975,27.125,25.700,23.125,21.350,20.950,20.100,20.500,20.875,19.550,18.975,21.575,22.975,23.075,23.525,26.150,24.050,23.900,26.825,24.525,24.750,33.000,31.325
19-01-2025,27.100,26.375,28.475,29.075,31.050,31.175,26.600,18.350,20.525,21.400,24.725,27.800,19.325,19.350,16.775,14.450,13.500,14.200,20.000,15.875,15.050,13.975,11.925, 9.750
20-01-2025,10.600,12.700,15.050,18.400,20.500,20.275,22.825,22.475,22.275,22.850,22.125,21.150,20.125,17.475,16.800,17.775,18.550,20.675,18.675,19.200,23.325,23.650,22.800,22.750
21-01-2025,21.075,19.550,20.100,18.875,18.400,18.575,17.725,18.975,18.325,18.525,18.550,16.450,16.675,18.325,18.525,18.150,19.550,17.500,17.400,15.550,14.950,17.425,18.150,23.075
22-01-2025,26.925,25.650,26.875,26.550,26.250,24.650,29.150,31.600,30.975,28.725,30.525,35.300,39.050,37.700,38.050,29.150,19.600,15.175,15.525, 9.975,10.525,11.650,13.800,19.575
23-01-2025,23.500,28.450,31.750,30.100,24.475,22.575,18.050,17.100,14.475, 9.550, 6.825, 7.750, 7.925, 5.600, 7.450, 4.125, 3.325, 5.500, 4.325, 4.225, 5.650, 5.575, 6.825, 8.200
24-01-2025,10.325,12.625,12.425, 9.625, 6.325, 3.275, 2.050, 1.625, 9.800,17.850,28.025,30.725,32.125,22.900,21.925,17.925,18.775,18.900,19.100,18.025,16.925,18.650,20.575,21.000
25-01-2025,18.675, 9.600, 8.750, 6.425, 4.000, 5.350, 6.350, 6.350, 5.725, 6.425, 7.400, 8.950,10.325, 9.325, 7.450, 6.375, 9.700,15.875,13.650,16.650,11.250,13.200,10.900,10.100
26-01-2025,10.275,10.300, 9.675, 9.575, 8.400, 6.425, 6.375,11.750, 8.225, 9.250, 6.475, 6.575, 5.825, 5.575, 5.600, 5.300, 5.575, 3.750, 3.150, 3.500, 5.150, 6.600, 8.025,10.950
27-01-2025,11.650, 9.575, 7.400, 6.650, 3.000, 2.250, 1.400, 3.700, 7.800, 7.575, 7.575, 8.150,      ,      ,11.300,11.825,11.200, 9.500, 7.350, 6.025, 8.375, 9.900, 6.250, 5.875
28-01-2025, 6.550,10.425,12.375,10.900, 9.650, 8.150, 7.625,17.275, 9.025, 7.525, 7.875, 8.550,16.750,12.175, 8.925, 7.375, 6.325, 5.525, 4.650, 2.350, 7.475, 6.325, 3.025, 2.225
29-01-2025, 2.525, 4.050, 8.400, 5.925, 4.975,10.475,11.325,13.125,18.875,12.475, 8.350, 5.675, 5.200, 5.275, 4.425, 5.450, 8.675, 6.200, 5.025, 7.175, 5.650, 6.425, 8.225, 4.775
30-01-2025, 4.300, 6.925, 5.875, 5.025, 4.700, 4.325, 4.450, 5.125, 5.950, 5.875, 6.725, 7.475, 6.650, 5.625, 6.275, 5.700, 5.750, 6.650, 9.400,13.875, 8.650, 9.900, 9.525, 9.575
31-01-2025,10.300, 9.475, 8.075, 7.650, 6.600, 5.775,10.375, 4.025, 6.350,14.050, 8.275, 7.725,11.250, 9.100,10.175, 8.875, 9.525,12.650, 9.450,11.725,16.500,19.425,17.900,21.925
01-02-2025,19.950,11.350,16.200,21.300,21.325,19.050,22.675,23.925,24.425,26.100,21.725,15.950,14.550,16.350,16.750,14.700,12.150,12.175, 8.950,12.100, 9.550, 7.075, 7.500, 8.125
02-02-2025,10.800,10.225,11.925,10.925,10.825,14.700,17.625,18.000,21.025,18.300,14.175,13.500,16.300,20.475,17.200,14.725,16.300,21.275,25.700,21.225,20.150,15.575,14.450,14.475
03-02-2025,15.500,15.325,15.875,14.975,16.475,14.625,13.550,13.275,12.875,12.950,12.075,13.750,11.975,13.500,13.925,13.500,12.900,12.200,11.875,12.350,11.875,11.800, 8.875, 7.050
04-02-2025, 6.950, 7.325, 7.975, 7.000, 6.400, 6.200, 7.325, 6.750, 6.175, 6.975, 5.500, 5.550, 5.625, 6.450, 7.275, 8.950, 5.125, 3.875, 3.150, 5.925, 7.300, 8.225,10.250,10.325
05-02-2025, 9.200, 8.675, 7.400, 6.475, 6.125, 5.450, 5.900, 6.875, 7.475, 8.325, 7.800, 9.600, 9.325, 8.125, 9.675,10.875,10.925,12.925,20.025,17.700,15.525,13.150,13.625,12.875
06-02-2025,15.475,14.800,15.250,14.700,14.250,13.625,15.800,20.125,23.375,25.975,23.375,20.175,13.250, 9.225,10.750,11.950,15.550,12.875,11.325,11.500,12.725,10.500, 9.450,10.200
07-02-2025,10.725,10.475,11.700,12.900,12.875,14.175,15.600,15.775,16.100,21.600,19.250,18.375,20.500,22.550,20.975,18.600,17.250,17.825,18.000,17.300,15.800,14.450,14.625,14.225
08-02-2025,16.650,17.475,29.500,35.900,20.950,17.400,18.200,26.850,29.675,31.250,33.625,35.250,37.600,36.925,35.550,35.700,36.400,37.075,36.850,38.850,38.950,38.300,37.825,37.000
09-02-2025,35.050,34.500,37.750,38.750,40.125,41.025,44.025,48.225,48.100,46.250,45.475,45.325,42.850,41.450,39.425,32.250,37.650,41.300,46.225,44.175,41.300,36.100,26.900,21.625
10-02-2025,21.275,28.175,35.725,32.500,28.550,25.925,24.900,26.900,24.475,13.875,14.150,13.900,14.450,22.075,23.325,23.825,25.000,21.925,22.075,20.725,22.200,22.425,22.800,23.600
11-02-2025,31.525,32.900,39.850,40.600,45.675,40.925,45.875,44.575,43.425,49.150,39.425,25.125,28.175,39.025,29.750,23.700,25.825,25.625,36.550,47.250,45.100,42.425,42.950,38.150
12-02-2025,43.650,43.475,31.200,31.550,29.375,30.850,36.875,46.950,40.875,34.150,50.425,44.950,42.250,38.525,38.000,58.850,42.050,40.400,35.850,37.575,33.225,30.775,27.775,23.925
13-02-2025,23.525,19.225,17.875,17.150,14.850,13.575,15.875,16.125,16.875,17.700,14.550,12.175,12.000,12.850,15.850,13.150,14.300,13.850,11.325,12.750,10.325,10.100,10.975, 9.925
14-02-2025,11.750, 8.700, 8.525, 7.450, 6.775, 7.825, 8.425, 9.050, 9.650,12.375,15.225,10.250, 9.600,11.725,13.150,18.500,19.825,20.825,25.725,29.300,33.425,35.475,32.225,35.075
15-02-2025,35.850,37.350,37.375,38.300,41.300,42.500,42.300,41.175,39.350,39.200,36.900,33.225,35.900,29.575,30.925,27.650,27.525,28.900,24.500,24.975,22.050,19.700,19.200,18.925
16-02-2025,18.650,14.100,12.375,14.150,14.250,19.000,18.925,23.225,26.750,32.900,38.900,35.650,33.275,25.100,22.250,16.200,14.875,15.375,17.400,15.025,14.950,16.800,16.850,17.150
17-02-2025,16.150,15.950,17.900,19.925,19.250,19.375,22.575,42.100,18.875,18.525,11.375,10.375, 9.700, 8.200, 9.100, 8.475, 8.425, 8.725,10.500, 7.625, 9.650,10.900,10.700,12.700
18-02-2025,12.925,14.650,15.200,15.025,17.625,17.825,23.000,31.350,34.375,35.100,31.050,26.975,23.875,25.100,28.775,29.975,29.350,27.600,28.075,29.650,31.350,35.225,41.825,41.350
19-02-2025,44.675,41.725,41.350,43.150,43.550,41.525,40.175,40.900,46.850,36.875,37.175,37.450,35.450,36.275,36.325,36.800,36.275,42.325,38.475,40.900,43.025,43.150,42.425,40.650
20-02-2025,38.125,32.875,28.550,28.950,28.250,22.650,16.225,10.550, 6.175, 3.950, 2.875, 2.025, 1.850, 1.900, 1.650, 1.650, 7.175, 3.325, 2.400, 3.700, 5.275, 7.000, 8.200, 9.600
21-02-2025, 7.000, 6.050, 5.725, 5.125, 4.200, 3.250, 2.650, 2.200, 2.050, 3.025, 4.625, 6.150, 5.700, 8.375,11.075,11.800, 8.225, 6.950, 7.575, 8.075, 6.675, 5.550, 5.350, 4.550
22-02-2025, 4.200, 3.475, 3.850, 4.725, 6.600, 7.275, 8.900,10.175,10.750,11.600,12.525,12.800,10.400,10.125,10.000,11.350,13.225,15.450,12.125,18.025,13.500,11.175,12.250,12.075
23-02-2025,12.725,12.075,10.750,12.225,12.325,11.100, 8.500, 8.800, 8.000, 7.600, 7.800, 7.875, 7.275, 6.525, 6.125, 6.075, 4.625, 4.525, 2.800, 2.050, 1.925, 1.350, 1.000, 1.300
24-02-2025, 1.150, 1.225, 1.150, 1.550, 2.300, 2.850, 2.925, 3.925, 4.625, 4.800, 5.250, 6.150, 6.025, 4.625, 6.750, 5.150, 6.100, 6.175, 9.000, 9.275,13.200, 9.150, 9.925, 9.875
25-02-2025, 9.700, 9.350, 8.900, 9.850, 9.675, 9.125, 6.175, 6.625, 9.550, 8.075,10.225, 6.925, 5.450, 6.375,10.625,10.900, 9.450,10.000,14.850,14.200,14.550,20.100,12.100,11.000
