Data supplied by UK-AIR on 11/3/2026
All Data GMT hour ending  
Rows begining ## are Provisional
Immingham Woodlands Avenue PM<sub>2.5</sub> particulate matter (Hourly measured) ug/m-3
   Date   , 01:00, 02:00, 03:00, 04:00, 05:00, 06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00, 24:00
01-01-2025, 2.995, 2.099, 1.769, 1.179, 1.698, 1.604, 0.873, 0.330, 0.377, 0.731, 1.344, 2.170, 2.075, 2.052, 1.958, 1.344, 1.486, 2.547, 3.019, 3.160, 3.231, 4.623, 4.906, 3.892
02-01-2025, 3.986, 3.656, 5.613, 2.807, 2.406, 3.656, 3.420, 3.042, 3.255, 3.090, 2.382, 2.830, 2.759, 2.524, 2.571, 2.948, 4.080, 3.373, 3.609, 3.467, 3.491, 3.656, 3.066, 2.618
03-01-2025, 3.160, 3.774, 3.396, 2.877, 3.019, 2.995, 2.429, 3.090, 2.712, 2.547, 3.561, 3.373, 3.443, 3.656, 2.948, 2.948, 7.901, 9.646, 9.387,13.208,21.840,14.505,17.995,15.401
04-01-2025,17.406,17.052,16.179,14.835,13.255,11.675,11.910,13.066,12.854,12.429,11.816, 9.057, 7.759, 5.778, 7.736, 7.052, 7.500, 8.892, 9.717,13.821,15.165,14.693,13.868,12.524
05-01-2025, 7.571, 3.892, 3.514, 2.524, 2.146, 2.476, 2.382, 1.745, 1.863, 1.439, 1.934, 2.075, 1.557, 2.476, 4.575, 3.349, 3.774, 5.283, 5.495, 3.585, 4.859, 4.599, 2.406, 2.429
06-01-2025, 3.585, 2.712, 1.132, 1.038, 1.486, 1.297, 0.896, 0.825, 0.825, 1.722, 2.005, 1.462, 1.061, 0.637, 0.708, 1.132, 1.392, 1.580, 2.830, 3.373, 3.443, 3.679, 3.443, 3.632
07-01-2025, 2.901, 5.259, 5.000, 3.208, 2.217, 3.538, 3.491, 3.538, 3.892, 3.656, 5.472, 5.731, 5.613, 4.764, 4.316, 3.491, 4.198, 4.906, 6.274, 6.109, 7.005, 6.816, 7.453, 6.038
08-01-2025, 4.882, 4.599, 4.859, 5.259, 4.693, 5.094, 2.877, 2.594, 3.703, 4.976, 9.670, 5.377, 7.123, 7.995, 8.561, 8.066,11.179,15.354,20.047,15.165,15.755,16.132,13.632,14.811
09-01-2025,19.363,13.703,14.363,14.127,11.793, 8.703, 7.689, 5.708, 5.637, 5.425, 4.458, 4.269, 3.467, 4.033, 2.995, 2.618, 2.948, 3.656, 3.750, 5.448, 6.203, 5.519, 5.354, 5.472
10-01-2025, 5.495, 7.429, 8.160, 6.203, 5.802, 8.066, 7.429, 4.363, 4.481, 5.118, 6.085, 6.109, 6.061, 6.344, 6.840, 7.972,10.024, 9.646,10.425,11.038,10.943,10.259,14.528,19.882
11-01-2025,13.797,11.274,12.406,10.307,10.024,12.901,13.420,13.396,14.764,13.420,14.293,13.514,12.005,11.509, 9.764,17.594,16.510,20.000,30.873,21.816,20.425,21.250,21.085,18.868
12-01-2025,23.962,22.193,23.137,21.722,14.198,11.533, 9.151, 6.887, 7.099,11.627,15.660,11.840,15.684,16.910,21.816,23.231,22.028,26.179,20.094,18.019,20.708,15.943,11.533, 8.962
13-01-2025, 9.953, 9.741, 7.642, 6.745, 7.335, 6.981, 7.241, 8.349, 8.892, 7.948, 7.076, 8.019, 6.109, 6.109, 5.377, 5.708, 6.014, 6.462, 7.241, 7.948, 8.019, 7.972, 8.302, 8.844
14-01-2025, 9.481,10.236,10.637,10.660,10.094, 9.316, 8.797, 9.552, 9.175, 8.514, 7.476, 6.344, 6.651, 8.632, 8.278, 7.972, 6.203, 8.962,10.354, 8.986, 7.547, 8.231, 6.675, 7.028
15-01-2025, 7.453, 7.076, 4.222, 2.854, 2.264, 5.849, 5.495, 6.533, 8.278,11.698, 9.686,      ,13.585,11.156, 9.741, 9.434,10.519,11.439,14.033,16.297,15.118,14.198,14.811,14.340
