Data supplied by UK-AIR on 12/3/2026
All Data GMT hour ending  
Rows begining ## are Provisional
Lincoln Canwick Road Nitrogen dioxide ug/m-3
   Date   , 01:00, 02:00, 03:00, 04:00, 05:00, 06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00, 24:00
01-01-2025,3.33925,1.38326,1.09193,0.92481,0.32520,0.42219,1.11800,1.70367,2.60833,3.42843,5.23743,8.38501,8.58203,6.36947,6.73364,6.29293,8.56407,29.18808,31.59427,20.14455,12.21295,16.80525,15.02465,13.12525
02-01-2025,8.15898,11.13300,7.52105,7.64308,10.05873,15.40577,27.89806,24.62263,33.39409,35.23868,28.81751,32.88925,33.59147,34.42057,      ,44.72561,47.95937,46.59527,44.90364,40.37562,31.14826,46.80384,39.12236,43.11179
03-01-2025,26.19835,23.88045,15.22618,23.47806,15.26607,18.37503,30.36238,35.71059,36.50060,45.26754,50.81681,40.56480,23.96091,22.98151,31.00523,50.87183,55.08732,42.84585,44.65931,38.70341,34.36107,30.21802,30.41634,23.95845
04-01-2025,15.35686,18.00531,17.41506,19.80375,19.36068,17.77593,18.42300,24.05815,21.25093,21.82128,22.05283,27.76625,30.49863,40.72925,34.83547,48.04319,45.31802,52.32106,30.59110,27.95620,24.70955,27.97819,14.52060,11.03369
05-01-2025,5.13012,11.33262,9.20024,1.38675,1.24870,1.44691,6.16296,2.13742,2.76022,10.90887,13.96507,16.54206,21.93275,30.03767,48.25190,44.67810,45.52619,35.00399,40.57553,32.63456,28.23089,26.93891,20.81360,20.23433
06-01-2025,17.83514,5.38451,6.31223,7.78727,11.65988,16.49786,34.16905,30.02981,21.27868,24.08847,17.62636,13.03970,9.68856,8.51280,9.87671,14.83715,17.07779,21.02625,24.20909,21.32133,18.05157,21.39022,29.31616,12.72318
07-01-2025,7.67300,11.89724,7.35448,5.21385,7.25929,17.32131,39.16290,42.89874,43.88694,39.90690,33.77721,29.34593,28.99370,20.61846,15.51491,21.35557,38.86945,26.35205,19.99578,23.10218,19.95279,15.26359,15.45444,13.67175
08-01-2025,10.69915,12.41789,11.20748,11.54332,15.50609,19.56571,41.50241,51.23065,46.22059,33.79343,45.94543,43.93958,45.96460,52.42245,52.56192,72.82974,66.77681,76.19160,100.61803,64.71383,56.17263,49.81903,49.75668,47.73680
09-01-2025,48.05314,47.42960,48.21565,46.77546,60.76610,59.93774,56.59011,61.65528,59.60205,55.56155,53.97923,51.40050,34.55551,29.42597,34.06850,47.40540,51.99183,49.97199,46.53009,63.43314,56.35408,48.64619,57.32661,36.41885
10-01-2025,32.51016,30.82762,28.19556,34.41683,34.01487,33.24028,56.91782,55.00344,42.63909,56.66248,52.40702,53.49849,55.01286,41.74681,48.40991,55.81831,64.23372,75.49275,65.77883,57.94618,51.78982,49.17948,46.28257,45.48784
11-01-2025,41.05282,36.45539,37.38781,36.06088,37.58065,37.23014,38.00108,39.69491,36.66748,41.64181,44.64280,46.49880,52.58477,42.77433,45.60032,51.90537,57.36483,53.56311,48.91106,47.27645,36.04736,43.13698,40.73694,43.52269
12-01-2025,40.33505,24.64670,26.41817,27.23892,30.61674,26.53337,25.52329,32.85581,26.64988,24.63326,28.36755,30.13866,32.49588,30.09647,34.33783,29.37961,25.76480,28.48537,27.00469,33.97351,24.84467,19.44385,17.69221,10.97000
13-01-2025,9.90106,8.59209,8.57756,5.53458,8.76586,17.30101,20.37130,20.76751,22.50354,17.87855,15.25212,16.48181,21.22938,19.62584,25.16106,22.19881,21.15058,20.32524,16.63254,12.67237,15.05659,13.92596,10.12907,10.00610
14-01-2025,8.81642,12.96232,7.66859,9.68081,9.85010,14.71411,18.84291,34.10872,33.46879,      ,      ,24.12965,24.30002,26.19865,28.67064,38.25199,43.99954,42.00122,32.04029,36.80488,35.52982,31.84176,30.10671,26.73461
15-01-2025,27.27016,26.01214,22.33966,23.85198,27.99429,25.47149,32.86918,35.30099,44.84154,40.81567,25.36756,26.07777,31.39174,27.33727,32.05865,39.53476,42.89693,32.08977,36.60038,41.66839,36.53534,29.56796,36.40318,15.01135
16-01-2025,18.43831,21.07799,13.58799,15.41687,19.73012,17.73837,32.56911,27.80049,35.82758,25.21703,21.66982,17.17342,24.69406,18.79152,33.23097,45.40923,71.29658,58.50843,44.49704,39.13858,22.22958,19.81660,17.70554,16.99569
17-01-2025,12.83313,12.69010,8.97732,6.74338,10.74790,10.45012,17.17408,27.18629,20.77957,28.28930,33.53624,22.86947,22.20453,24.08522,27.83577,28.07918,43.03122,48.36849,26.69359,28.01741,30.78420,21.14348,14.81470,12.85444
18-01-2025,12.80524,10.48653,6.00759,5.10613,5.26466,5.62802,13.13988,10.85025,17.11302,15.32900,18.35397,23.56127,28.39546,29.65612,25.12369,29.33542,26.73923,32.82100,31.46515,23.44719,24.68319,21.20532,17.42660,10.83901
19-01-2025,      ,12.23187,8.98308,12.03880,11.67014,8.50406,7.34889,9.32959,15.80718,18.37308,20.48861,21.26249,19.74027,24.51919,24.20787,20.77545,23.08458,22.67558,17.50775,12.41111,12.26908,9.52409,7.26102,5.47935
20-01-2025,6.78793,9.47373,11.16512,9.34708,12.12467,21.81043,25.90315,29.38445,34.60061,47.66942,33.71042,25.93904,32.25557,29.99630,38.52939,46.23526,46.35415,45.36109,41.40069,40.31128,42.70321,39.32313,37.68322,38.82912
21-01-2025,35.43978,44.49268,28.69632,19.91276,16.81769,13.70039,22.24144,18.53572,22.52664,22.14201,24.97140,18.75012,21.88603,20.50970,29.18514,30.76566,47.61973,70.91432,41.88662,28.27730,20.10445,22.21901,24.24829,25.29532
22-01-2025,20.43411,30.87029,29.43627,27.23047,30.09780,27.08038,34.39625,32.96666,36.89609,28.29524,36.66181,50.01281,38.28364,36.00571,32.53719,40.86854,51.55841,50.00491,43.31558,38.15089,29.63070,29.44980,27.74465,28.15052
23-01-2025,27.41083,29.49729,24.04525,20.21195,23.05883,18.33767,30.22374,29.73227,39.11423,28.13004,18.76019,19.33735,20.22772,25.86440,16.65351,19.47107,24.83947,26.25781,21.04997,24.53114,17.83012,13.62441,10.58528,7.20232
24-01-2025,3.84934,10.62790,3.27911,4.02830,3.49766,2.15205,6.67351,9.98221,9.97124,9.11724,9.17490,7.27474,6.38985,7.63071,7.72605,11.25667,14.41553,17.01873,28.30734,17.38919,18.32891,14.87566,9.55598,8.28069
25-01-2025,8.61467,9.77866,7.17276,5.01676,7.30772,9.40881,14.93026,17.49188,21.67890,20.12409,24.00258,18.70718,24.14234,15.61134,22.19072,23.22706,34.85725,74.22663,31.09282,20.25412,16.21851,14.62683,17.28461,12.76435
26-01-2025,      ,5.06946,3.61648,3.13219,5.97845,3.87972,7.11394,8.65312,11.47666,13.35495,9.14598,9.84821,9.84415,9.91605,4.55858,4.53054,5.09193,5.40721,5.09355,5.77181,5.81833,6.30811,7.24396,6.35101
27-01-2025,3.78963,3.26910,10.86039,8.59215,3.51785,17.23576,17.65072,26.62224,17.17773,12.24552,15.02057,10.54930,7.01289,7.06944,9.24832,15.00358,12.45873,19.63576,14.85216,9.41550,9.74984,7.17176,2.15517,2.29197
28-01-2025,1.76170,3.34081,1.04436,1.70293,4.35014,6.22305,13.64006,26.60233,15.67591,26.78765,28.31548,47.10940,54.17572,54.81969,49.80331,39.76984,34.59596,33.85459,20.51176,22.67219,14.64511,16.17219,25.91069,8.57951
29-01-2025,6.94753,6.40582,6.84829,7.39666,8.58968,21.13939,36.10573,      ,      ,      ,      ,      ,20.81071,30.58708,57.97782,61.26332,83.23643,63.57993,68.89308,53.61148,47.22524,30.47343,22.18960,23.95536
30-01-2025,23.49330,18.13453,20.77114,20.82142,25.53306,25.70992,55.08344,57.47468,56.77702,52.24134,52.04581,32.26797,22.00948,25.39478,31.61198,34.37217,53.12622,61.97656,47.00534,47.97504,39.71069,34.13569,26.05510,20.37348
31-01-2025,16.22918,19.40011,16.47262,4.80227,10.28797,9.22768,28.70114,46.42485,62.78305,55.38808,39.88899,60.72444,61.09919,68.00494,68.32380,55.44453,61.62858,73.19937,45.91852,47.81818,43.02199,33.60749,31.29649,29.92999
01-02-2025,26.54790,21.06138,17.28729,13.39284,19.80825,15.70429,22.02691,18.12661,21.11225,25.42596,28.45636,27.07353,41.52895,29.72460,25.05927,28.43738,20.51924,25.43493,22.59289,13.69901,14.82318,14.23123,8.28197,7.40585
02-02-2025,5.98433,4.94435,5.95285,5.66685,10.39468,10.86088,15.19232,16.85355,12.66570,18.97851,14.92008,15.87421,13.84748,13.79413,13.40985,24.09428,42.82987,48.04749,51.35502,42.81919,32.52351,22.93657,28.32320,18.41437
03-02-2025,15.20080,10.61222,15.82113,11.52430,11.17185,22.53319,27.78170,29.37809,41.41648,26.62740,20.32906,16.16192,16.17884,21.49027,25.28103,29.09475,20.82164,27.36091,17.12362,17.58410,17.14281,23.77132,12.97513,10.78726
04-02-2025,9.57390,10.39956,6.67658,7.15900,12.46034,13.30709,14.51598,19.65593,21.90544,11.67538,13.97265,8.74322,7.67300,6.69005,9.18597,12.98610,21.63218,22.59589,25.38239,18.52298,16.94652,14.67055,12.50556,12.32220
05-02-2025,11.03970,11.87061,9.08761,8.16009,20.14157,23.16543,39.99626,50.77938,46.39795,36.28977,37.21390,28.29080,15.84029,14.05110,20.49404,25.07332,34.93374,68.47989,69.63895,73.81363,70.60044,58.44770,50.99170,49.67991
06-02-2025,47.99458,35.53758,30.64445,27.93046,40.98364,36.12142,35.01546,43.70963,49.55332,39.98435,49.60189,39.02805,39.82946,36.40542,55.93045,49.97654,69.10956,66.72398,61.58205,40.61573,39.02480,50.27195,44.29977,27.49540
