Data supplied by UK-AIR on 13/3/2026
All Data GMT hour ending  
Rows begining ## are Provisional
Scunthorpe Town Nitrogen dioxide ug/m-3
   Date   , 01:00, 02:00, 03:00, 04:00, 05:00, 06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00, 24:00
01-01-2025,1.70066,2.03019,1.27638,0.88224,0.83217,0.58620,4.62182,5.99688,2.45466,2.75130,3.19139,4.22268,4.66395,5.44957,7.17193,8.30249,4.27246,5.89084,9.38681,10.91239,10.91533,17.03713,9.37621,5.55650
02-01-2025,14.28310,13.75817,12.27536,9.53279,13.65592,12.97151,17.73914,14.59360,13.61261,18.84727,15.79885,12.51259,11.76851,10.64864,12.47422,16.80485,18.32890,27.43558,17.79201,20.24079,20.81080,18.18077,26.73688,23.93587
03-01-2025,17.74978,11.46166,9.82475,10.16655,9.92047,12.42209,15.56496,19.15376,13.45656,21.14641,13.49473,15.88641,13.63766,17.31992,15.56238,32.70184,71.17298,79.72241,79.05439,64.78909,47.59619,45.92173,39.56062,32.02501
04-01-2025,25.01178,15.52363,16.84132,13.01573,13.06048,15.30370,16.73597,21.63741,28.25646,34.22586,31.63891,22.95541,22.04181,24.19689,25.23609,27.61234,39.72546,38.23934,24.56882,22.58105,22.58746,15.56725,20.57674,14.58494
05-01-2025,      ,6.67692,3.58343,4.07280,7.21246,4.41377,4.56287,6.37826,7.60396,7.79794,7.99157,11.96685,13.63385,23.18893,23.37834,22.12605,36.49454,47.24758,49.11975,46.30009,31.87461,16.99832,7.41067,6.82027
06-01-2025,5.36348,3.59373,5.25028,4.51536,7.69169,6.89816,9.89351,8.08663,11.57142,13.53254,11.32377,9.70556,8.28629,9.41284,9.45827,12.30927,15.39693,19.99986,26.82513,23.97301,20.23873,14.75618,14.07548,7.89575
07-01-2025,6.08083,6.27610,6.03239,6.17809,7.49998,18.73927,22.75744,29.60351,45.89452,32.83577,22.30819,22.95449,24.76596,25.93949,22.17467,26.83724,25.90412,30.62033,28.69398,25.33353,21.91031,22.01149,18.14511,11.62542
08-01-2025,9.86936,12.28765,11.32693,11.32574,11.66633,30.43533,31.21178,40.60485,67.51690,66.78098,43.35348,37.04827,46.85271,58.19046,62.56955,66.16595,69.61418,69.87270,63.67649,58.32355,62.99846,58.03795,55.36057,52.70159
09-01-2025,      ,36.83375,34.23837,43.97911,36.54857,52.58085,62.39019,73.09944,68.72667,59.22894,46.47700,35.03654,28.08976,21.95358,18.29999,17.22949,25.52229,32.55945,31.59274,34.96688,40.88983,39.36127,32.96847,32.87369
10-01-2025,28.22120,19.86008,21.30870,30.08871,22.23779,24.80740,39.05854,43.40144,55.96748,47.97842,39.35476,33.84704,28.05626,25.82294,27.99637,42.41800,57.08808,62.92044,56.29374,51.79462,49.95211,47.56981,48.49280,45.21954
11-01-2025,33.15257,34.70275,29.91921,23.54256,23.92178,39.91634,42.55257,38.07548,40.84786,42.96002,38.93097,39.55195,40.55848,37.99358,43.15992,50.92345,63.82947,66.37283,62.54832,64.19691,58.40663,53.68179,42.91934,38.32449
12-01-2025,38.21026,39.19058,44.77798,44.45497,45.78157,45.22479,38.52163,27.68868,24.26845,23.66362,23.93980,23.86188,25.77579,30.68198,31.64860,32.00723,31.14295,34.11702,31.19373,30.27460,25.63645,21.82898,19.18775,17.62342
13-01-2025,15.46198,15.39858,13.74981,10.52005,9.14432,10.40535,16.88583,14.79778,19.35013,20.22236,19.29371,19.50024,19.00468,19.58228,23.39664,27.27163,24.04839,23.56776,24.99151,21.66618,20.59208,19.37393,15.60805,13.30926
14-01-2025,10.82144,8.54318,8.06907,7.67764,6.49995,9.21837,15.84347,18.97978,18.88529,17.11853,      ,      ,      ,      ,      ,25.93357,28.82379,30.58334,26.09094,26.47613,18.47907,17.05819,13.64610,11.44186
15-01-2025,10.12383,12.93125,11.75910,11.11588,7.14649,17.84077,19.02756,25.08706,30.41422,25.60313,17.65558,      ,17.58548,17.64147,17.63079,32.28805,45.21412,47.93432,33.96022,32.04806,35.90835,40.53440,36.73270,35.00286
16-01-2025,35.62346,34.50691,29.42550,32.44294,35.33571,34.28737,34.55409,41.35034,37.41272,26.59009,26.16957,28.67820,25.70643,33.67585,31.06838,39.57110,46.05905,34.67750,39.92292,25.24894,22.50557,19.66880,13.97927,11.92165
17-01-2025,12.71152,10.35388,8.10922,7.86264,8.99051,9.86263,14.23985,16.98525,18.55148,15.02013,11.72271,9.12558,8.29129,10.20214,13.91986,21.94128,26.70770,24.64723,22.29210,19.11131,19.40544,17.83113,10.85624,13.56219
18-01-2025,15.61969,13.91437,13.68596,12.55168,9.59747,10.13443,10.62812,11.31695,10.72340,12.83532,14.11331,15.14535,15.87843,13.42130,15.98365,21.04699,26.90716,30.69628,22.58307,16.78148,14.71461,12.00875,9.89106,8.95649
