Data supplied by UK-AIR on 13/3/2026
All Data GMT hour ending  
Rows begining ## are Provisional
Scunthorpe Town PM<sub>10</sub> particulate matter (Hourly measured)  ug/m-3 (Grav Equiv)
   Date   , 01:00, 02:00, 03:00, 04:00, 05:00, 06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00, 24:00
01-01-2025, 8.696, 5.797, 5.797, 3.865, 2.899, 2.899, 7.730, 6.763, 8.696, 6.763, 7.730,11.594, 7.730, 7.730, 4.831,12.561, 8.696, 6.763,10.628,12.561,11.594,14.493,16.425,15.459
02-01-2025,14.493,10.628, 6.763, 8.696,12.561, 8.696, 8.696,11.594, 8.696, 7.730, 9.662, 8.696, 6.763, 5.797, 9.662, 7.730, 7.730,12.561,13.527,12.561, 8.696,13.527, 8.696,14.493
03-01-2025,11.594, 6.763,12.561, 5.797, 7.730, 0.966,10.628,10.628, 6.763,12.561,11.594,10.628, 4.831,13.527, 8.696,16.425,21.256,36.716,41.547,38.648,30.918,26.087,31.885,25.121
04-01-2025,26.087,17.392,24.155,17.392,23.189,16.425,14.493,19.324,19.324,23.189,18.358,24.155,18.358,20.290,19.324,25.121,13.527,18.358,18.358,16.425,19.324,13.527,24.155,29.952
05-01-2025, 9.662, 9.662, 7.730, 9.662,22.223, 7.730, 9.662, 5.797, 4.831, 5.797, 4.831, 3.865, 3.865, 7.730, 3.865, 3.865,19.324,19.324,24.155,24.155,13.527, 6.763, 3.865, 3.865
06-01-2025,16.425, 6.763, 6.763, 3.865, 3.865, 3.865, 5.797, 0.000, 3.865, 6.763, 5.797, 4.831, 6.763, 8.696, 4.831,13.527, 4.831, 8.696,14.493,15.459,20.290,12.561,11.594, 8.696
07-01-2025,      ,      ,13.527,10.628, 5.797, 6.763, 8.696,11.594,10.628, 9.662,12.561,11.594,13.527,10.628,10.628,10.628,14.493,16.425,14.493,14.493,15.459,12.561, 8.696, 7.730
08-01-2025, 8.696, 8.696, 9.662,12.561, 8.696, 5.797, 9.662,14.493,15.459,20.290,15.459,15.459,14.493,16.425,18.358,25.121,29.952,32.851,24.155,32.851,28.020,29.952,37.682,32.851
09-01-2025,28.020,22.223,16.425,19.324,22.223,28.020,31.885,30.918,27.054,18.358,15.459,18.358,12.561,16.425, 8.696, 8.696,13.527,10.628,16.425,10.628,14.493,18.358,16.425,13.527
10-01-2025,16.425,10.628,14.493,16.425,13.527, 9.662,10.628,13.527,20.290,18.358,14.493,20.290,12.561,14.493,12.561,17.392,17.392,28.986,26.087,25.121,25.121,25.121,28.986,24.155
11-01-2025,21.256,26.087,26.087,28.020,20.290,24.155,27.054,24.155,23.189,19.324,27.054,23.189,18.358,17.392,28.020,22.223,26.087,46.378,61.837,74.397,78.262,72.465,44.445,40.580
12-01-2025,38.648,42.513,39.614,37.682,37.682,30.918,28.986,26.087,24.155,24.155,31.885,30.918,35.749,44.445,37.682,36.716,40.580,32.851,37.682,37.682,27.054,25.121,20.290,22.223
13-01-2025,34.783,22.223,22.223, 4.831,15.459,13.527,12.561,11.594,11.594, 9.662, 6.763, 9.662, 9.662,10.628,18.358,21.256,14.493,11.594,16.425,16.425,15.459,17.392,19.324,14.493
14-01-2025,11.594,12.561,16.425,17.392,15.459,13.527,18.358,12.561,12.561,14.493,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
15-01-2025,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
16-01-2025,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
