Data supplied by UK-AIR on 14/3/2026
All Data GMT hour ending  
Rows begining ## are Provisional
Tallington PM<sub>2.5</sub> particulate matter (Hourly measured) ug/m-3
   Date   , 01:00, 02:00, 03:00, 04:00, 05:00, 06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00, 24:00
01-01-2025, 3.160, 2.689, 2.264, 1.675, 1.226, 1.415, 1.604, 1.627, 1.533, 0.873, 0.354, 0.495, 1.014, 1.627, 2.099, 2.217, 2.712, 3.137, 2.005, 1.274, 1.887, 2.028, 2.052, 2.665
02-01-2025, 3.420, 3.774, 4.481, 3.585, 3.302, 2.830, 2.759, 2.594, 2.335, 2.359, 2.500, 2.594, 2.618, 2.665, 2.547, 4.269,32.264,12.052,10.448, 7.382,12.076,14.175, 7.689, 8.491
03-01-2025, 9.033, 7.264, 8.160, 9.505, 8.137, 5.590, 3.774, 3.066, 3.467, 3.231, 2.995, 2.854, 3.137, 2.736, 2.948, 3.726, 4.434,16.769,23.679,12.736, 6.887, 9.505,11.509,11.675
04-01-2025,11.203,10.330, 8.868, 7.288, 7.193, 6.580, 6.486, 8.019, 9.505, 9.906,12.288,13.656,14.033,13.679,11.321, 9.623, 8.302, 9.670,13.491,13.113,11.392, 9.764, 8.278, 6.132
05-01-2025, 5.142, 3.538, 3.113, 2.830, 1.651, 0.943, 1.250, 2.854, 3.443, 3.609, 2.854, 2.901, 4.976, 4.245, 4.363, 3.491, 4.741, 9.434, 8.750, 4.906, 1.627, 0.896, 0.566, 0.802
06-01-2025, 1.038, 1.014, 1.156, 1.816, 1.179, 0.472, 0.189, 0.401, 0.259, 0.519, 0.802, 0.755, 0.825, 1.014, 1.439, 2.052, 1.557, 1.368, 1.792, 2.311, 2.453, 2.759, 3.137, 3.278
07-01-2025, 3.396, 3.821, 3.986, 3.892, 3.821, 3.703, 3.679, 3.632, 3.349, 3.137, 3.137, 3.255, 3.255, 3.349, 2.052, 2.099, 1.627, 2.335, 4.151, 3.915, 4.127, 4.387, 3.797, 3.042
08-01-2025, 2.972, 3.632, 3.703, 3.325, 3.325, 3.915, 4.057, 5.425, 7.052, 8.774, 8.184, 9.976,10.330,11.580,11.203,12.146,12.406,15.024,12.972,15.071,15.778,12.807,13.349,12.571
09-01-2025,13.774,13.443,12.099,12.665,12.712,11.745, 9.387,10.189,10.377, 9.811, 6.863, 8.774,12.406, 9.976, 8.514, 8.538, 7.759, 8.491, 9.387,10.967,11.109,12.547,13.396,12.406
10-01-2025,12.783,12.406,13.278,13.420,12.406,11.533,10.212,11.014,11.887,12.783,12.925,11.604,10.354,10.778,10.236,10.212,10.543,11.793,15.071,25.024,21.344,26.061,23.844,21.486
11-01-2025,20.472,19.434,18.844,18.915,19.670,20.802,21.392,20.991,21.061,20.590,21.533,19.269,17.665,15.943,14.835,14.811,15.094,18.915,18.774,23.585,29.953,27.854,25.708,25.566
12-01-2025,25.755,25.307,24.623,24.057,24.175,26.510,26.910,26.203,26.510,26.014,25.755,22.901,23.420,23.090,21.910,21.156,20.377,21.250,21.274,19.387,18.703,17.877,17.359,16.627
13-01-2025,14.151,14.434,15.613,15.425,15.118,15.778,14.599,13.443,11.250, 7.406, 6.014, 5.142, 5.212, 5.637, 6.462, 6.722, 6.863, 7.854, 6.297, 6.698, 6.887, 7.901, 8.703, 8.986
14-01-2025, 9.009, 8.255, 8.561, 8.538, 8.467, 8.231, 8.184, 8.396, 8.774, 8.231, 7.689, 6.509, 5.896, 4.882, 3.656, 2.547, 3.939, 5.590, 5.896, 7.193, 7.524, 8.679, 9.505, 9.882
15-01-2025,12.193,10.354, 9.505,10.236,11.415,15.613,14.151, 6.651, 4.976, 4.929, 4.575, 7.972, 8.915, 9.127, 7.406, 6.344, 7.547, 8.656,11.321, 8.868, 9.104,10.590,11.509,10.637
16-01-2025,10.920, 9.198, 8.184, 7.076, 6.179, 5.967, 5.425, 5.024, 5.448, 6.863, 8.278, 7.406, 7.311, 8.113,10.590,16.344,16.226,14.623,15.354,16.486,16.722,14.906,13.868,10.755
17-01-2025,10.637,12.217,10.448, 9.363, 9.293, 9.953,10.896,11.179,11.745,13.939,12.429,11.580,11.580,11.392,11.509,11.910,11.863,13.420,15.094,16.250,15.731,16.887,16.675,17.264
18-01-2025,18.373,19.269,18.962,19.646,21.274,21.486,21.344,20.731,21.604,22.170,20.495,19.599,19.198,18.868,18.939,19.222,19.340,21.486,24.222,30.944,26.486,27.241,31.038,36.227
19-01-2025,36.109,33.396,32.099,30.047,29.387,29.222,25.896,19.741,17.170,18.561,19.717,20.094,19.458,21.439,24.222,24.694,26.392,24.387,22.241,19.929,17.524,15.283,11.722,12.476
20-01-2025,14.387,15.495,16.392,16.557,15.142,12.736,12.618,11.250, 8.208,12.524,15.448,14.811,15.519,13.538,14.434,15.613,17.359,18.962,20.472,20.094,20.920,20.495,22.406,19.387
21-01-2025,19.576,19.340,18.821,17.712,17.241,16.887,13.703,13.443,12.453,11.415,11.509,11.250,10.024,10.543,11.061,12.146,18.514,15.165,18.491,22.429,26.061,24.977,24.717,25.495
22-01-2025,25.731,25.566,26.274,29.245,25.590,22.877,22.736,23.373,22.901,22.005,22.170,28.373,28.113,26.250,22.995,29.552,31.297,25.755,24.929,25.401,24.127,24.505,25.660,23.066
23-01-2025,23.066,24.434,23.892,24.269,24.363,16.486,11.415,10.519,11.274,12.076, 6.675, 3.915, 3.703, 3.491, 1.910, 1.934, 3.066, 2.736, 1.816, 2.854, 3.585, 3.939, 5.354, 7.217
24-01-2025, 7.311, 7.311, 8.208, 5.708, 1.816, 1.344, 1.179, 0.637, 6.557,11.179,11.910,13.420,12.925,10.991,10.543,10.660,10.118, 8.538, 9.576,11.274,12.170,12.193,13.726,14.717
25-01-2025,15.000,11.863, 4.811, 3.396, 2.429, 2.712, 3.208, 3.491, 3.632, 3.844, 3.632, 3.656, 3.939, 4.033, 4.080, 4.269, 4.575, 5.967, 9.859,11.085,11.061,10.660,11.061, 9.670
26-01-2025, 8.915, 7.759, 6.321, 5.354, 5.401, 5.637, 5.401, 4.788, 4.646, 4.104, 3.915, 3.609, 3.514, 5.826, 4.599, 1.934, 1.769, 1.557, 2.217, 3.609, 4.481, 6.344, 7.453, 8.514
27-01-2025, 8.538, 6.297, 2.901, 0.660, 0.495, 1.226, 3.656, 5.401, 3.585, 3.703, 3.420, 3.892, 3.231, 2.359, 5.118, 4.410, 4.151, 2.476, 4.670, 6.274, 5.637, 4.882, 4.292, 5.778
28-01-2025, 7.594, 7.264, 6.604, 5.943, 5.047, 3.892, 4.009, 5.259, 4.976, 6.297, 7.170, 5.047, 2.311, 1.533, 2.123, 2.406, 6.250, 5.708, 4.741, 2.311, 3.420, 5.448, 5.236, 4.175
29-01-2025, 3.868, 2.972, 2.406, 2.170, 2.052, 2.099, 3.066, 3.325, 3.726, 4.033, 4.481, 4.410, 4.434, 4.859, 4.788, 3.797, 4.198, 5.896, 5.472, 6.226, 4.387, 4.127, 3.302, 2.406
30-01-2025, 3.373, 3.774, 3.962, 3.868, 3.373, 2.359, 2.712, 3.066, 3.656, 5.047, 4.340,      , 3.585, 3.255, 3.113, 3.184, 4.410, 4.222, 4.222, 6.462, 4.646, 5.684, 5.708, 4.670
31-01-2025, 4.316, 4.859, 5.542, 5.991, 6.745, 3.679, 1.958, 1.910, 2.571, 3.019, 3.774, 4.646, 5.165, 7.193, 6.816, 7.076, 8.821,13.774,12.476,13.137,13.396,12.406,12.076,11.675
01-02-2025,12.146,15.495,13.208,12.264,12.689,14.646,18.066,18.066,11.958, 9.080, 9.505, 9.859, 7.052, 5.542, 5.967, 6.910, 6.462, 6.981, 8.066, 5.684, 6.250, 6.344, 6.816,10.425
02-02-2025,11.981,11.840,12.665,16.274,16.604,17.193,17.476,17.193,16.439,15.684,15.165,13.726,12.359,11.533,10.094, 9.788,11.368,10.731,12.453,12.995,14.646,16.274,17.193,17.995
03-02-2025,17.099,15.543,15.071,15.354,14.835,14.104,14.976,15.896,16.769,16.793,17.972,15.401,12.948, 9.788, 9.033, 9.245,10.047,10.873,11.557,11.958,14.198,14.363,13.184, 9.033
04-02-2025, 5.283, 4.717, 4.764, 4.693, 4.245, 4.127, 4.505, 4.245, 3.042, 2.995, 4.080, 3.703, 3.538, 3.255, 3.255, 3.090, 2.476, 1.651, 1.509, 2.335, 2.759, 4.434, 5.236, 5.566
05-02-2025, 6.014, 5.967, 5.755, 5.401, 4.859, 4.976, 5.401, 5.660, 5.613, 5.472, 5.189, 4.835, 4.670, 4.575, 4.552, 5.259, 5.896, 7.453, 7.099, 6.415,11.014,13.797,13.915,10.755
06-02-2025,10.566,10.873,10.165, 9.835,10.189,11.179,11.934,12.500,13.915,12.854,14.245,14.976,12.712, 6.392, 4.882, 4.575, 5.142, 5.448, 5.684, 6.321, 8.349, 8.019, 6.863, 6.533
07-02-2025, 6.722, 6.344, 5.991, 6.109, 6.061, 6.533, 6.392, 5.425, 6.179, 7.193, 5.967, 6.863, 9.646,10.826,12.500,12.123,10.660,10.283, 9.576, 9.576,10.873,12.382,12.689,12.783
08-02-2025,13.538,15.330,16.038,17.123,18.043,20.401,22.783,25.330,26.250,27.429,28.231,29.717,28.585,28.160,27.830,28.208,28.090,28.420,29.363,29.977,30.189,30.613,31.368,30.566
09-02-2025,28.208,30.566,30.684,32.005,31.722,32.076,32.288,33.255,35.165,37.995,40.661,45.708,47.123,46.014,39.811,38.255,36.769,35.731,34.198,33.868,35.094,35.212,31.179,30.283
10-02-2025,28.868,28.797,29.646,29.552,27.194,26.769,25.967,26.274,24.033,20.731,21.604,22.406,21.816,21.486,21.156,20.307,17.901,21.297,23.939,24.835,22.618,15.566,15.849,16.793
11-02-2025,18.561,25.330,24.882,24.363,25.566,33.373,32.712,39.788,42.052,32.406,31.250,32.099,30.991,25.189,21.793,21.462,27.524,34.411,35.944,33.750,32.429,34.717,35.613,33.727
12-02-2025,28.632,24.458,24.010,21.675,20.425,20.401,19.788,19.293,18.632,17.948,16.533,18.962,19.293,22.618,22.453,25.425,23.750,22.099,22.241,24.104,25.991,28.609,33.043,32.547
13-02-2025,30.944,28.184,21.580,18.585,16.580,15.118,14.363,12.123,10.684,10.873, 9.670, 8.797, 7.524, 7.359, 7.594, 7.288, 7.524, 8.113, 9.009,13.090, 9.481, 9.764,10.189,10.189
