Data supplied by UK-AIR on 14/3/2026
All Data GMT hour ending  
Rows begining ## are Provisional
Toft Newton PM<sub>10</sub> particulate matter (Hourly measured)  ug/m-3 (Grav Equiv)
   Date   , 01:00, 02:00, 03:00, 04:00, 05:00, 06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00, 24:00
01-01-2025, 4.725, 3.900, 2.625, 3.600, 3.375, 3.075, 1.950, 4.375, 1.200, 0.750, 2.750, 1.850, 2.750, 3.275, 3.425, 2.300, 1.550, 2.500, 6.025, 5.125, 3.650, 4.750, 6.025, 6.825
02-01-2025, 7.700, 7.250, 6.625, 5.400, 4.975, 5.100,12.425, 8.025, 7.850, 4.400, 5.575, 5.625, 4.200, 4.725, 5.725, 5.200, 5.275, 4.900, 4.300, 5.100, 6.625, 7.100, 7.675, 7.825
03-01-2025, 5.950, 4.600, 3.700, 4.000, 3.825, 4.150, 4.725, 4.900, 5.900, 5.575, 5.200, 4.525, 5.300, 4.900, 4.650, 7.975, 9.325, 7.100, 8.000,10.675,16.150,21.150,23.400,22.775
04-01-2025,23.750,22.850,18.975,14.325,14.375,15.675,15.550,14.925,14.375,15.575,17.150,17.675,12.775,11.225,17.450,13.950,13.275,12.925,16.500,18.375,18.925,14.050,11.775, 7.975
05-01-2025, 6.700, 6.525, 5.200, 3.625, 3.075, 2.025, 1.050, 0.700, 0.675, 0.550, 0.450, 0.500, 0.750, 1.975, 2.650, 2.450, 2.525, 7.075, 5.750, 7.850, 5.400, 4.675, 4.575, 3.825
06-01-2025, 3.775, 5.275, 1.675, 1.050, 1.225, 1.750, 1.550, 4.225, 2.400, 1.900, 1.625, 1.275, 1.325, 1.225, 1.250, 2.175, 2.375, 3.225, 4.150, 3.750, 4.000, 5.550, 5.925, 5.550
07-01-2025, 9.725,10.200, 8.475, 9.050, 5.400, 2.950, 1.950, 2.400, 3.275, 5.875, 7.400, 7.450, 7.425, 6.650, 3.025, 1.775, 4.100, 7.425, 8.550, 2.950, 3.725, 6.650, 6.200, 5.525
08-01-2025, 5.750, 6.150, 7.650, 7.650, 8.150, 7.800, 7.625, 7.675, 7.600, 8.800, 9.500,11.125,14.000,13.050,12.800,14.200,16.050,15.150,17.600,18.925,17.925,20.050,28.125,28.100
09-01-2025,22.325,19.375,18.175,16.575,16.850,26.100,26.050,25.450,14.350,14.550,13.475,11.800,11.450, 9.225, 9.475,10.800, 9.825, 9.425,12.500,12.050,11.100,11.975,11.075,10.775
10-01-2025,11.100,10.575,10.200,10.575,10.325, 9.150, 9.300, 7.850, 7.950, 8.300, 9.975, 9.550,11.400,18.875,17.325,12.675,12.950,14.500,13.050,14.975,19.500,17.450,20.050,23.800
11-01-2025,23.375,25.625,24.925,19.950,18.825,19.900,21.400,20.650,21.625,25.925,23.000,19.425,18.625,17.350,16.550,14.150,14.600,15.450,19.200,19.175,28.800,32.400,35.325,36.975
12-01-2025,24.525,34.000,35.000,40.225,49.800,39.175,30.075,27.900,29.275,29.175,30.550,30.925,30.725,29.275,34.650,34.175,31.350,32.225,30.975,29.400,27.750,26.775,30.375,21.050
13-01-2025,18.750,18.625,17.300,13.475,15.975,14.875,13.975,15.450,15.975,13.675, 9.625, 9.725, 8.775, 8.175, 8.400, 8.725, 9.225,10.050, 9.925,10.075,10.675,11.175,11.600,11.725
14-01-2025,13.100,14.125,14.575,13.125,12.925,12.800,12.350,12.850,12.550,12.075,12.275,11.575,10.025,11.200,12.050,13.325,13.350,12.950,13.325,16.475,14.925,15.200,13.200,13.350
15-01-2025,15.050,16.200,12.175,11.450,11.075,12.025,13.875,16.150,12.775,13.900,17.275,14.450,10.125, 7.600, 9.575,      ,13.900,10.225, 9.925,11.500, 8.425, 9.175, 8.675, 7.100
16-01-2025, 7.200, 7.825, 8.125, 8.425, 7.125, 8.500, 8.925, 8.650, 7.825, 6.325, 5.725, 6.400, 6.675, 8.600,10.025,11.025,12.075,15.950,20.450,24.200,27.600,27.275,25.850,26.150
17-01-2025,23.425,19.625,18.650,17.725,18.375,18.150,16.025,12.825,12.800,15.550,17.700,17.825,18.275,18.800,20.350,18.325,17.775,19.050,23.025,22.375,22.400,25.600,27.300,27.225
18-01-2025,29.375,27.450,25.800,24.075,22.875,22.975,22.625,21.625,21.275,21.150,20.550,21.275,22.650,23.675,22.325,23.625,22.550,22.175,26.075,28.350,25.275,28.675,31.175,39.525
19-01-2025,33.900,32.700,30.675,31.100,32.375,34.275,31.225,31.350,32.475,32.725,22.575,18.825,18.500,16.525,13.850,13.375,13.900,15.700,14.700,14.450,12.650,10.825,10.550,14.500
20-01-2025,14.000,15.425,16.975,17.325,19.400,20.900,19.650,19.375,19.825,19.775,19.600,17.775,16.625,16.450,19.700,25.500,25.400,20.175,19.750,23.150,23.100,25.850,25.475,23.575
21-01-2025,24.000,21.325,21.075,21.100,21.575,21.950,22.200,21.350,20.025,21.275,18.525,19.075,20.275,18.850,18.000,19.300,17.150,17.675,17.425,17.050,19.200,21.075,25.375,26.800
22-01-2025,22.700,25.825,26.075,26.650,27.325,27.625,26.125,24.800,21.900,19.000,18.875,25.075,33.275,43.775,45.375,29.675,21.600,19.825,19.175,23.450,20.350,17.050,17.050,20.225
23-01-2025,23.450,25.125,26.775,24.450,22.200,21.425,25.025,19.950,13.325, 9.350, 9.250, 8.225, 8.850, 5.600, 4.625, 2.550, 3.425, 3.825, 3.850, 4.175, 4.825, 7.325, 8.375, 9.150
24-01-2025,10.325,11.050,10.075, 8.825, 7.150, 2.975, 1.325, 2.025,12.300,18.500,25.500,27.575,25.400,23.975,19.575,18.525,17.075,18.850,18.225,18.350,20.500,20.700,20.575,20.850
25-01-2025,21.750,14.175, 8.850, 4.550, 5.225, 5.625, 6.475, 6.575, 7.250, 7.550, 6.500, 7.650, 7.250, 6.500, 5.475, 4.475, 8.200, 8.875, 9.975,12.375,14.300,13.475,13.850,12.025
26-01-2025,11.300,11.525,11.175,11.150, 9.075, 7.425, 7.050, 8.050, 9.300, 7.675, 6.975, 6.125, 5.200, 4.725, 3.875, 3.250, 2.700, 2.325, 2.900, 3.550, 5.075, 5.850, 7.425, 8.800
27-01-2025, 9.100, 9.800, 8.100, 7.425, 2.550, 0.700, 1.675, 5.850, 9.525, 6.550, 7.075, 7.250,10.000,12.025, 9.875,10.350,12.300, 9.500, 5.325, 4.600, 8.175, 9.725, 6.925, 7.575
28-01-2025, 7.825,10.250,11.350, 9.400, 8.475, 7.250, 6.250, 5.975, 6.575, 6.850, 8.375,11.375, 9.850, 7.775, 6.275, 7.275, 8.375, 4.625, 5.175, 4.025, 4.475, 3.375, 3.050, 3.250
29-01-2025, 3.125, 3.675, 4.000, 4.525, 3.825, 4.100, 4.750, 5.000, 6.100, 7.600, 9.025, 7.750, 6.275, 6.100, 5.500, 4.975, 4.700, 3.975, 3.275, 3.575, 4.900, 5.250, 6.625, 6.750
30-01-2025, 6.300, 6.075, 6.075, 5.950, 4.725, 4.375, 4.850, 5.900, 7.825, 8.025, 8.350, 8.025, 6.375, 4.825, 5.325, 4.375, 5.050, 7.250, 7.250, 8.925, 9.750,11.575,12.325,12.575
31-01-2025, 9.600,10.525, 9.600, 9.000, 6.675, 4.550, 4.650, 5.925, 5.775, 6.750, 8.925, 9.150, 9.825,11.700,12.550,14.875,20.150,22.000,19.575,19.575,19.125,20.325,19.100,19.100
01-02-2025,19.225,19.550,17.950,17.550,18.750,21.125,20.950,22.900,22.450,24.375,25.475,14.650,15.350,15.850,15.125,14.525,10.625, 8.475, 9.100,12.475,10.675,11.125, 9.875,10.200
02-02-2025,11.750,13.375,14.950,12.525,17.750,21.900,22.650,22.975,22.650,22.575,22.025,19.375,21.375,12.725,12.000,10.950,10.400,16.300,21.950,22.175,20.900,21.250,17.800,18.025
03-02-2025,19.600,18.475,19.100,18.675,16.750,15.733,15.100,15.825,15.525,17.050,15.075,12.375,17.000,16.300,13.875,11.875, 9.825, 8.800,15.150,18.000,20.900,16.350,14.025,13.500
04-02-2025,14.175,10.475, 9.450, 8.875, 6.725, 6.575, 6.975, 7.225, 6.550, 5.825, 4.925, 5.250, 5.500, 6.225, 6.675, 5.425, 3.950, 2.400, 3.600, 4.475, 6.650, 7.875, 9.325,10.100
05-02-2025,10.650,10.350, 9.325, 7.025, 6.925, 7.900, 8.725, 8.600, 8.725, 8.550, 9.775, 9.650, 7.850, 7.775, 8.075, 9.525, 9.325,10.725,10.500, 9.850,17.050,26.575,17.075,13.975
06-02-2025,15.675,15.575,16.475,22.325,21.925,26.150,26.550,29.225,24.850,21.125,18.675,12.550,11.750,10.275, 8.150, 6.325, 7.775, 9.100, 8.625, 8.950, 8.900, 7.275, 8.250, 8.825
07-02-2025, 9.375, 9.800,10.700,11.050,11.275,11.850,10.600, 9.775, 8.325,11.350,10.550,10.025,10.725,13.025,12.250,10.100,11.975,12.700,10.650,11.025,12.600,11.775,13.000,13.800
08-02-2025,13.525,14.400,14.775,17.650,17.000,17.725,19.625,22.425,24.150,27.075,30.200,33.425,33.950,34.475,32.525,32.750,33.425,35.575,36.500,37.075,36.775,37.550,36.600,34.625
09-02-2025,27.600,24.075,31.450,40.550,41.550,42.925,42.225,43.600,44.775,47.050,45.525,47.000,44.775,43.050,41.650,37.525,32.475,39.400,43.250,43.550,43.150,38.375,31.975,21.025
10-02-2025,20.125,23.975,32.000,30.850,26.175,23.050,22.775,22.075,21.175,15.350,12.325,14.750,16.100,19.225,21.875,20.225,21.100,20.000,19.375,19.650,18.350,15.500,18.400,19.275
