Data supplied by UK-AIR on 14/3/2026
All Data GMT hour ending  
Rows begining ## are Provisional
Toft Newton PM<sub>2.5</sub> particulate matter (Hourly measured) ug/m-3
   Date   , 01:00, 02:00, 03:00, 04:00, 05:00, 06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00, 24:00
01-01-2025, 2.736, 2.311, 1.604, 1.769, 1.769, 1.509, 1.014, 1.344, 0.425, 0.425, 1.439, 0.967, 1.509, 1.792, 1.981, 1.557, 1.014, 1.368, 2.665, 2.170, 2.311, 2.877, 3.278, 3.679
02-01-2025, 3.962, 3.632, 3.373, 2.972, 2.712, 2.571, 3.231, 2.524, 2.594, 2.264, 2.453, 2.594, 2.193, 2.193, 2.288, 2.217, 2.241, 2.618, 2.594, 3.325, 4.764, 5.283, 5.991, 6.132
03-01-2025, 4.623, 3.538, 2.665, 2.524, 2.453, 2.665, 2.594, 2.830, 3.373, 3.042, 2.948, 3.042, 3.302, 3.066, 2.830, 4.198, 4.033, 4.481, 5.755, 8.821,13.868,17.995,20.047,19.906
04-01-2025,20.778,20.543,16.793,12.076,11.958,13.420,13.113,13.043,12.429,12.948,13.986,14.033,10.000, 8.986,13.467,11.085,10.448,11.156,14.363,15.991,16.297,11.557, 9.882, 6.509
05-01-2025, 5.495, 5.637, 4.410, 3.255, 2.665, 1.745, 0.873, 0.566, 0.495, 0.425, 0.354, 0.330, 0.448, 0.802, 2.123, 2.099, 2.170, 6.274, 4.410, 6.675, 5.024, 4.127, 3.467, 3.349
06-01-2025, 3.302, 4.387, 1.368, 0.731, 0.708, 0.920, 0.660, 3.019, 1.061, 1.533, 1.344, 0.802, 0.755, 0.802, 1.038, 1.415, 1.580, 1.910, 2.547, 2.948, 2.948, 4.340, 4.198, 3.821
07-01-2025, 5.024, 5.283, 4.882, 5.920, 3.302, 2.052, 1.509, 1.863, 2.382, 4.599, 5.755, 5.778, 5.590, 5.401, 2.028, 1.344, 3.278, 5.495, 7.099, 2.099, 2.665, 5.330, 4.882, 4.269
08-01-2025, 4.552, 4.458, 4.929, 4.693, 5.590, 5.189, 5.118, 4.505, 4.906, 5.542, 6.061, 7.948, 9.906, 8.939, 9.387, 9.741,10.637,10.566,12.146,13.844,13.231,14.741,16.934,17.123
09-01-2025,17.241,15.613,14.387,12.925,13.231,20.189,20.660,19.127,10.094,10.236, 9.175, 8.774, 8.302, 7.170, 6.887, 6.604, 6.863, 7.288,10.330, 9.410, 8.160, 9.127, 7.665, 7.901
10-01-2025, 7.547, 7.406, 7.217, 7.406, 7.382, 6.226, 6.014, 5.259, 5.401, 5.212, 5.590, 5.377, 7.524,11.226, 9.835, 6.368, 6.816, 8.420, 8.726,10.543,13.868,13.349,14.505,17.712
11-01-2025,17.995,18.349,17.783,16.156,16.226,16.722,17.311,16.604,16.745,18.656,16.816,15.354,14.788,12.925,12.241,10.896,10.519,11.745,15.708,17.382,25.212,29.175,32.311,34.033
12-01-2025,22.830,30.991,31.651,36.085,42.665,35.283,27.618,25.425,26.179,26.274,27.170,27.783,27.194,25.991,30.920,30.566,27.901,28.632,27.547,25.967,24.623,23.679,27.099,18.844
13-01-2025,16.627,16.816,15.543,11.509,13.915,13.467,12.264,13.585,14.198,11.297, 7.264, 6.769, 6.297, 5.802, 5.448, 5.778, 6.439, 7.028, 7.665, 7.783, 8.137, 8.609, 9.104, 9.717
14-01-2025,10.684,11.462,11.604,10.991,10.543,10.283,10.189,10.354,10.142,10.118, 9.741, 9.340, 8.113, 8.679, 9.387,10.212,10.354,10.259,10.755,13.491,11.863,12.807,11.934,12.005
15-01-2025,13.750,15.071,11.415,10.637,10.024,11.014,12.759,14.929,11.769,12.901,15.448,12.877, 8.986, 6.651, 7.854,      ,11.950, 9.033, 9.127,10.731, 7.665, 8.443, 7.972, 6.651
16-01-2025, 6.675, 7.241, 7.524, 7.830, 6.627, 7.854, 8.349, 7.995, 7.193, 5.849, 5.330, 5.943, 6.203, 7.830, 8.986,10.047,11.038,14.198,18.420,22.335,25.283,24.906,22.925,23.090
17-01-2025,21.179,17.783,16.934,16.203,16.910,16.557,14.434,11.509,11.226,13.774,15.472,15.590,15.802,16.297,17.359,15.849,15.448,16.297,19.929,19.434,19.764,22.477,23.892,23.208
18-01-2025,25.283,23.986,22.571,21.038,20.330,20.566,20.354,19.741,19.340,19.033,18.797,19.458,20.613,21.061,19.717,20.543,19.788,20.000,23.396,25.802,22.925,25.873,28.326,36.227
19-01-2025,31.085,30.094,28.444,28.656,29.788,31.510,28.939,28.632,29.764,29.576,20.826,17.335,17.123,15.236,12.830,12.406,12.736,14.458,13.585,13.396,11.627, 9.693, 9.717,13.090
20-01-2025,12.689,13.986,15.448,15.826,17.453,19.010,17.925,17.359,17.359,16.958,16.297,13.986,12.995,13.255,15.543,19.340,18.349,15.708,16.934,19.835,19.977,21.745,21.439,20.330
21-01-2025,20.377,18.892,18.821,18.467,18.986,19.387,19.741,18.868,17.241,18.538,16.156,16.085,17.193,16.533,15.472,16.061,14.175,14.646,14.198,14.198,16.132,18.043,22.241,24.057
22-01-2025,21.203,24.127,24.410,24.977,25.495,25.849,24.481,23.137,20.543,17.807,17.642,22.854,29.481,36.203,40.212,26.769,19.387,17.028,17.406,21.156,18.656,15.920,15.873,18.656
23-01-2025,21.415,22.311,23.278,21.958,19.410,19.057,22.642,17.948,11.675, 7.783, 7.241, 6.887, 7.288, 4.670, 3.632, 1.297, 1.792, 2.123, 2.594, 2.972, 3.137, 4.458, 5.165, 5.472
24-01-2025, 5.920, 6.816, 6.627, 6.392, 5.448, 2.099, 0.825, 1.226, 7.429,10.566,13.538,14.552,13.679,12.382,10.755,10.142, 9.717,10.024, 9.741, 9.458,10.165,10.684,11.061,11.439
25-01-2025,12.264, 8.609, 5.943, 3.090, 2.241, 2.665, 2.948, 3.467, 3.325, 3.703, 3.514, 3.632, 3.538, 3.231, 2.759, 2.193, 4.599, 4.434, 5.849, 8.184, 9.033, 8.396, 8.137, 7.547
26-01-2025, 7.453, 7.830, 7.264, 6.769, 5.566, 4.646, 4.646, 5.024, 5.708, 5.307, 4.410, 4.175, 3.491, 3.019, 2.618, 2.099, 1.910, 1.887, 2.146, 3.019, 4.080, 4.741, 5.967, 6.533
27-01-2025, 6.769, 7.099, 6.109, 5.448, 1.675, 0.330, 0.755, 2.948, 5.189, 3.679, 4.009, 4.127, 5.425, 6.745, 5.943, 6.085, 6.910, 5.660, 3.491, 3.090, 5.283, 6.038, 4.363, 5.000
28-01-2025, 5.401, 6.627, 7.170, 6.226, 5.542, 4.929, 4.458, 4.175, 4.410, 5.094, 6.179, 8.066, 6.604, 5.495, 5.071, 5.755, 5.708, 3.797, 4.127, 3.042, 3.231, 2.642, 2.359, 2.547
29-01-2025, 2.382, 2.759, 2.901, 2.925, 2.406, 2.500, 2.854, 2.877, 3.373, 3.821, 4.340, 4.198, 3.396, 3.278, 2.594, 2.241, 2.311, 1.934, 1.934, 2.052, 2.925, 3.561, 4.717, 4.835
30-01-2025, 4.222, 4.080, 4.104, 4.316, 3.278, 2.783, 2.901, 2.948, 3.467, 3.726, 3.868, 3.915, 3.373, 2.689, 2.642, 2.288, 2.453, 3.231, 3.750, 5.425, 5.637, 7.547, 9.127, 9.481
31-01-2025, 6.675, 7.854, 6.958, 6.368, 4.575, 3.514, 3.821, 5.118, 5.000, 5.495, 7.076, 7.311, 8.231, 9.670,10.660,12.759,17.359,18.632,16.910,16.533,15.778,17.005,16.203,16.769
01-02-2025,16.958,17.406,15.967,15.755,16.392,17.901,18.538,20.118,20.000,21.038,22.028,12.335,13.420,13.774,13.090,12.547, 9.387, 7.335, 8.113,11.250, 9.741, 9.764, 8.868, 9.293
02-02-2025,10.307,11.981,13.491,11.226,15.802,19.646,20.472,20.401,20.189,19.764,19.340,16.604,18.302,10.189, 9.481, 8.656, 7.995,12.406,17.760,18.373,16.910,17.476,14.576,15.236
03-02-2025,16.038,15.377,16.061,15.731,14.104,13.082,12.854,12.571,12.476,13.821,12.830,10.660,14.576,13.373,10.920, 9.245, 8.231, 7.571,13.137,15.330,18.632,13.962,12.076,11.675
04-02-2025,11.887, 8.042, 6.981, 6.769, 4.882, 4.434, 4.575, 4.575, 4.127, 3.844, 2.995, 2.736, 3.019, 3.609, 3.703, 3.184, 2.500, 1.486, 2.170, 2.854, 4.340, 5.024, 5.590, 5.991
05-02-2025, 6.557, 6.392, 5.519, 4.387, 4.222, 4.906, 5.613, 5.307, 5.024, 5.000, 5.259, 5.259, 4.363, 4.151, 4.198, 4.670, 4.387, 4.859, 5.307, 5.991,12.382,21.651,13.184,10.094
06-02-2025,12.547,11.392,11.321,18.609,19.080,22.948,20.590,23.915,20.637,16.958,13.821, 9.269, 7.524, 6.604, 4.976, 3.797, 4.859, 5.896, 5.330, 5.778, 5.236, 4.316, 4.882, 5.236
07-02-2025, 5.330, 5.778, 5.731, 5.731, 5.896, 6.250, 5.849, 5.283, 4.788, 7.382, 7.594, 7.028, 7.146, 8.396, 8.231, 6.769, 7.524, 7.807, 6.415, 6.792, 8.160, 7.759, 8.868, 9.646
08-02-2025,10.283,11.344,12.028,13.986,14.410,14.976,16.462,18.915,20.307,21.840,24.151,25.991,26.486,27.123,26.179,26.840,27.288,28.491,29.363,30.472,30.212,31.344,31.014,30.401
09-02-2025,24.811,22.005,28.137,34.977,36.014,37.335,36.958,38.302,39.694,41.132,40.212,40.873,38.538,36.533,34.552,31.627,27.547,32.925,34.811,35.024,34.953,30.637,26.816,18.019
10-02-2025,17.217,20.802,26.627,25.212,21.368,18.962,18.113,17.335,16.722,13.137, 9.670,11.863,13.326,15.637,17.429,16.109,15.991,14.505,14.127,14.363,14.269,12.854,15.637,16.793
11-02-2025,18.113,23.750,27.311,31.604,31.981,36.250,35.873,37.382,32.382,34.128,32.878,19.835,13.868,22.830,28.939,19.151,14.175,16.415,17.877,23.090,23.750,33.184,36.887,34.151
12-02-2025,32.311,31.816,33.444,31.274,23.632,20.495,19.316,22.783,      ,26.981,27.618,27.429,31.981,31.179,28.326,27.123,28.514,29.646,33.514,28.915,29.175,26.863,24.387,20.613
13-02-2025,19.151,16.981,14.316, 9.670, 8.373, 8.585, 7.642, 7.076, 6.132, 5.684, 6.863, 5.778, 4.953, 3.679, 4.175, 4.906, 5.189, 5.189, 6.250, 6.934, 6.887, 7.830, 8.278, 8.420
14-02-2025, 8.066, 7.925, 6.769, 6.722, 5.684, 4.882, 4.882, 5.283, 5.920, 6.392, 6.769, 6.297, 7.524, 9.363,12.642,15.826,18.420,18.797,19.340,24.151,27.665,30.495,34.269,35.401
15-02-2025,35.873,36.510,37.264,37.524,39.434,40.991,40.944,39.340,37.028,35.684,34.128,30.377,28.066,27.170,26.038,24.741,24.080,23.561,23.703,21.085,19.505,16.910,18.821,21.227
16-02-2025,19.906,17.099,14.741,14.458,13.019,15.896,20.708,24.906,27.642,29.151,29.694,27.948,27.760,23.444,16.014,13.679,10.755, 8.585,10.142,11.132,11.132,10.896,10.024,10.118
17-02-2025,12.005,14.528,16.250,17.854,20.047,20.755,20.189,17.807,15.991,12.052, 9.835, 8.679, 8.396, 6.439, 6.014, 6.132, 4.835, 4.269, 4.387, 4.245, 4.269, 6.368, 7.288, 9.646
18-02-2025,11.958,14.151,15.755,16.722,17.807,18.373,29.293,33.679,33.514,25.000,21.250,22.264,22.052,22.854,25.944,26.863,25.142,25.165,22.005,20.920,20.094,24.623,28.373,30.401
19-02-2025,29.694,27.453,26.557,27.547,31.510,32.854,32.264,31.297,29.458,28.208,28.750,29.010,30.118,30.472,30.755,30.708,30.778,31.297,32.524,34.080,35.448,35.967,37.052,37.783
20-02-2025,37.618,36.911,35.307,33.373,29.741,17.972,15.283, 7.571, 2.642, 1.816, 1.297, 1.250, 0.920, 0.684, 0.566, 0.755, 0.920, 1.203, 1.675, 2.241, 3.208, 3.939, 6.109, 6.745
21-02-2025, 5.330, 4.528, 3.821, 3.679, 2.170, 2.146, 1.557, 1.297, 1.368, 2.429, 2.972, 3.538, 3.962, 6.745, 7.500, 5.943, 5.189, 5.094, 5.542, 5.873, 4.764, 4.245, 4.080, 3.278
22-02-2025, 2.524, 2.642, 2.995, 3.514, 4.198, 5.118, 5.613, 6.392, 7.689, 9.481, 9.528, 8.632, 6.981, 6.274, 5.165, 4.127, 3.915, 4.481, 4.646, 4.623, 5.826, 6.627, 8.986, 7.948
23-02-2025, 8.208, 7.429, 7.429, 7.476, 6.509, 6.321, 5.873, 5.991, 5.377, 5.118, 5.401, 5.189, 4.481, 3.844, 3.750, 3.420, 3.278, 2.382, 1.580, 1.321, 1.132, 0.873, 0.825, 0.660
24-02-2025, 0.590, 0.684, 0.684, 1.156, 1.486, 1.557, 1.863, 2.476, 2.877, 2.925, 3.396, 3.892, 2.783, 2.594, 3.632, 1.840, 3.184, 4.434, 5.189, 7.052, 6.203, 6.816, 6.344, 6.486
25-02-2025, 6.533, 6.651, 6.344, 6.226, 5.873, 5.425, 5.495, 5.024, 5.047, 4.552, 4.104, 3.750, 2.972, 3.160, 4.292, 4.410, 4.859, 4.481, 4.811, 5.826, 6.509, 7.217, 6.486, 6.698
26-02-2025, 7.689, 7.264, 6.604, 7.076, 5.802, 5.542, 4.811, 3.962, 4.363, 5.448, 5.448, 3.420, 2.972, 2.830, 3.514, 2.524,11.981, 3.467, 1.910, 2.359, 2.665, 3.278, 2.995, 2.712
